iter	MultiClass
0	1.086950438
1	1.075725768
2	1.064732012
3	1.053764895
4	1.043385958
5	1.033310629
6	1.023473971
7	1.014023575
8	1.004935978
9	0.9959993414
10	0.9874144813
11	0.9791594506
12	0.971064315
13	0.9630508744
14	0.9550924188
15	0.9475116829
16	0.9401390879
17	0.9327312091
18	0.9253189999
19	0.9186679745
20	0.9118034973
21	0.9050334992
22	0.8984382533
23	0.8919993539
24	0.8857164399
25	0.8796709376
26	0.8738420932
27	0.8680507241
28	0.8624181278
29	0.8569048162
30	0.8514316189
31	0.8460224963
32	0.8407102827
33	0.8356226491
34	0.8307111651
35	0.8258735782
36	0.8210778918
37	0.8165381507
38	0.8119868902
39	0.8076210187
40	0.803365389
41	0.7991461477
42	0.7949358552
43	0.7908902462
44	0.7867953743
45	0.7827903317
46	0.7790077133
47	0.7752209083
48	0.7715867562
49	0.7682002683
50	0.7644891176
51	0.7610652925
52	0.7575809654
53	0.7541212701
54	0.7508314442
55	0.747614455
56	0.7443801442
57	0.7413410262
58	0.7382795089
59	0.7351682139
60	0.7320406674
61	0.7288761118
62	0.725815851
63	0.7227581116
64	0.7197595847
65	0.7169748381
66	0.71424134
67	0.7114683664
68	0.7089380449
69	0.7062044083
70	0.7035989325
71	0.7011487071
72	0.6986146107
73	0.6961845167
74	0.6938529299
75	0.6914495989
76	0.6892708267
77	0.6870204193
78	0.6846823942
79	0.6825143493
80	0.6802828566
81	0.6781250556
82	0.6760226332
83	0.6739367805
84	0.6720177257
85	0.6700593135
86	0.6681089175
87	0.6661430348
88	0.6641645497
89	0.6623195758
90	0.6604363178
91	0.6586272726
92	0.6568074709
93	0.654960889
94	0.6531913103
95	0.651591069
96	0.6499015928
97	0.6481900433
98	0.6465112381
99	0.6448633232
100	0.6431651711
101	0.6415646769
102	0.6399705473
103	0.6383808627
104	0.6368915948
105	0.6354857024
106	0.6339568964
107	0.6325472011
108	0.6310762992
109	0.6296033943
110	0.628107366
111	0.6264740699
112	0.6249330476
113	0.6234716976
114	0.6220934545
115	0.6206785146
116	0.6191781424
117	0.6177680547
118	0.6164957183
119	0.6151376917
120	0.6139195745
121	0.6126290428
122	0.6113674996
123	0.6099594592
124	0.6086937797
125	0.6074756647
126	0.6063032708
127	0.6051761759
128	0.604060343
129	0.6030023859
130	0.6018396975
131	0.6007488444
132	0.5997134116
133	0.598692789
134	0.59768413
135	0.5966273835
136	0.5956065231
137	0.5946279067
138	0.5936177646
139	0.5926671453
140	0.591673553
141	0.5907246859
142	0.5898474006
143	0.5889519938
144	0.5880502184
145	0.5871778634
146	0.5863229748
147	0.5855060675
148	0.584597202
149	0.5837749865
150	0.5829991526
151	0.5822241589
152	0.581478421
153	0.5808253662
154	0.5799721643
155	0.5791191807
156	0.5782927626
157	0.5775295295
158	0.5768353975
159	0.5760819732
160	0.5753587167
161	0.5746396611
162	0.5739787367
163	0.573308688
164	0.5725939138
165	0.5719431511
166	0.5712543301
167	0.5706766087
168	0.5701229025
169	0.5693304635
170	0.5686550812
171	0.5680567714
172	0.5674258616
173	0.5668490087
174	0.5662324062
175	0.5656292186
176	0.5649789004
177	0.5643959611
178	0.5637879404
179	0.5630667786
180	0.562449182
181	0.5619273213
182	0.5613076968
183	0.560701975
184	0.5601246616
185	0.5596228513
186	0.5590434475
187	0.5585180105
188	0.5579081874
189	0.5573326843
190	0.5567830032
191	0.5563107436
192	0.5558004317
193	0.5551892544
194	0.5546559283
195	0.5541217845
196	0.5535878383
197	0.5530233006
198	0.5525083409
199	0.5520441275
200	0.5515185727
201	0.5510662717
202	0.5506280291
203	0.5501207189
204	0.5496288794
205	0.5490927646
206	0.548494495
207	0.548084029
208	0.5476783317
209	0.5472456467
210	0.5467378314
211	0.5462690989
212	0.5458163671
213	0.5453230418
214	0.5449084853
215	0.5444277855
216	0.5440052344
217	0.5436628991
218	0.5432883634
219	0.5428619955
220	0.5424231842
221	0.541980609
222	0.541545827
223	0.5411223811
224	0.5407025308
225	0.5402908976
226	0.5399131614
227	0.5394781247
228	0.5390644035
229	0.5386384059
230	0.5381619611
231	0.5377240373
232	0.5374102736
233	0.5370117056
234	0.5366268756
235	0.5362927963
236	0.5358298583
237	0.5354083458
238	0.5351305746
239	0.5348160581
240	0.5344724586
241	0.5340827002
242	0.5337430216
243	0.5334073109
244	0.5330100668
245	0.5326616715
246	0.532395055
247	0.5320399271
248	0.5316848208
249	0.5312877003
250	0.5309548489
251	0.5305881613
252	0.5302157507
253	0.5298778598
254	0.5295141089
255	0.5291930002
256	0.5288630496
257	0.5284695147
258	0.528152986
259	0.5278331062
260	0.5274807597
261	0.5271853659
262	0.5268824308
263	0.5265558664
264	0.5262394829
265	0.5260523911
266	0.525759457
267	0.5255001502
268	0.5251951205
269	0.5249106502
270	0.5245666939
271	0.5242546775
272	0.5239870167
273	0.5237358119
274	0.5234835692
275	0.523140663
276	0.5228550092
277	0.5224932954
278	0.5221477968
279	0.521871321
280	0.5215663918
281	0.5213481877
282	0.5210959912
283	0.5207666262
284	0.5205274837
285	0.5202474031
286	0.5200219988
287	0.5197209124
288	0.5193835657
289	0.5190966589
290	0.5188255923
291	0.5186005977
292	0.5183591382
293	0.5181443418
294	0.5178907911
295	0.517596142
296	0.5173481376
297	0.5171115053
298	0.516898884
299	0.5166017502
300	0.5163533635
301	0.516113377
302	0.5158513166
303	0.5155890932
304	0.5153031878
305	0.5151197602
306	0.5149212758
307	0.5147229747
308	0.5144841254
309	0.5142234715
310	0.5139695981
311	0.5137133793
312	0.5135313594
313	0.5133399901
314	0.5131085395
315	0.5128725829
316	0.5125919281
317	0.5123953817
318	0.5121851868
319	0.5119162581
320	0.5117224678
321	0.5115273557
322	0.511369038
323	0.5111460079
324	0.5109812119
325	0.5106937676
326	0.510416443
327	0.5101864278
328	0.51000565
329	0.5098057162
330	0.5095702305
331	0.5093533138
332	0.5091515094
333	0.5089366886
334	0.5087415377
335	0.508599369
336	0.5084027255
337	0.50819899
338	0.5079501021
339	0.5076971028
340	0.5075171763
341	0.5072855043
342	0.5070659101
343	0.5068631039
344	0.5066531069
345	0.5063946347
346	0.5061670879
347	0.5060019286
348	0.5058035382
349	0.5056069863
350	0.5054298928
351	0.5053040925
352	0.505179052
353	0.5049647727
354	0.5047986652
355	0.5045550823
356	0.504391271
357	0.5042296326
358	0.5040409397
359	0.5038705263
360	0.5037140486
361	0.5035081091
362	0.5032912825
363	0.5030965334
364	0.5029744604
365	0.5028012375
366	0.5026280818
367	0.5024509101
368	0.5022303266
369	0.5019927271
370	0.5018285248
371	0.501679731
372	0.5015337618
373	0.5013198372
374	0.5011090617
375	0.5009353826
376	0.5007456984
377	0.5005158388
378	0.5002837259
379	0.5001808681
380	0.5000394861
381	0.49991862
382	0.4997760138
383	0.4995925868
384	0.4993927898
385	0.4993048189
386	0.4991380308
387	0.4989769167
388	0.4988216029
389	0.498678636
390	0.4985106431
391	0.4983955273
392	0.498252929
393	0.4981277724
394	0.4979654025
395	0.4978331419
396	0.4977160438
397	0.4975603409
398	0.4973546588
399	0.4971877068
400	0.4969763529
401	0.4968164821
402	0.4966736742
403	0.4964884382
404	0.4963122689
